Date,Incoming,Outgoing,SMS
2021-11-14,1,1,1
2021-11-15,0,0,1
2021-11-16,1,3,5
2021-11-17,1,1,1
2021-11-18,1,2,0
2021-11-19,0,1,1
2021-11-20,0,0,1
2021-11-21,0,0,2
2021-11-22,0,2,2
2021-11-23,0,1,2
2021-11-24,1,1,2
2021-11-25,2,2,0
2021-11-26,1,1,1
2021-11-27,1,0,1
2021-11-28,1,3,0
2021-11-29,1,3,1
2021-11-30,2,0,0
2021-12-01,1,3,3
2021-12-02,3,3,4
2021-12-03,2,0,3
2021-12-04,0,1,1
2021-12-05,0,0,0
2021-12-06,0,1,1
2021-12-07,0,0,1
2021-12-08,0,1,1
2021-12-09,0,1,1
2021-12-10,2,0,1
2021-12-11,1,0,1
2021-12-12,2,0,2
2021-12-13,0,1,1
2021-12-14,1,10,2
2021-12-15,2,2,1
2021-12-16,1,1,3
2021-12-17,0,1,3
2021-12-18,0,0,8
2021-12-19,2,5,4
2021-12-20,2,0,4
2021-12-21,3,7,8
2021-12-22,0,0,9
